query	query_gene_n	library	rank	term	p_value	z_score	combined_score	overlap_genes	adjusted_p_value
SRRS_d7_wound_alignment	100	Ligand_Perturbations_from_GEO_up	3	estradiol mouse uterus GSE24525 ligand:140	3.04207093751098e-46	42.550170860515685	4459.529196063439	TAGLN;ARPC1B;UQCR11;UQCR10;YBX1;PSMA7;ACTG1;SRM;TUBA1C;TUBA1B;LGALS1;GNG5;SEC61G;C1QBP;TMSB4X;SH3BGRL3;SEC61B;SERF2;COX8A;EIF5A;PPP1R14B;TPI1;TPM4;SSR4;LUM;GSTO1;TPM2;PGAM1;NME2;MIF;PDIA6;CKAP4;NME1;COL1A1;RCN3;COL3A1;RCN1;OSTC;VDAC1;CALR;P4HB;PPIB	2.5451993510508534e-44
SRRS_d7_wound_alignment	100	Ligand_Perturbations_from_GEO_up	4	estradiol (E2) mouse uterine tissue GSE61921 ligand:289	2.076174718661523e-45	40.44827586206897	4161.553304084487	ARPC1B;UQCR11;UQCR10;YBX1;PSMA7;ACTG1;PTMS;SRM;EEF1B2;TUBA1C;TUBA1B;LGALS1;GNG5;SEC61G;C1QBP;TMSB4X;COTL1;SH3BGRL3;SEC61B;SERF2;COX8A;EIF5A;PPP1R14B;TPM4;SSR4;LUM;GSTO1;TPM2;PGAM1;NME2;MIF;PDIA6;CKAP4;NME1;COL1A1;RCN3;COL3A1;OSTC;VDAC1;CALR;P4HB;PPIB	1.3027996359601056e-43
SRRS_d7_wound_alignment	100	Ligand_Perturbations_from_GEO_up	5	17beta-estradiol mouse uterus GSE38800 ligand:124	1.1362702938281892e-43	38.369529828593315	3794.109864062209	TAGLN;ARPC1B;UQCR11;UQCR10;YBX1;PSMA7;ACTG1;TUBA1C;TUBA1B;LGALS1;GNG5;SEC61G;C1QBP;TMSB4X;COTL1;SH3BGRL3;SEC61B;SERF2;CTSB;COX8A;EIF5A;VKORC1;PPP1R14B;TPI1;TPM4;SSR4;LUM;GSTO1;TPM2;PGAM1;NME2;MIF;PDIA6;CKAP4;NME1;COL1A1;RCN3;COL3A1;VDAC1;CALR;P4HB	5.70407687501751e-42
SRRS_d7_wound_alignment	100	Ligand_Perturbations_from_GEO_up	6	estradiol human endometrium GDS3313 ligand:270	2.786190774475961e-43	44.72826477994963	4382.765385535904	FKBP11;TNC;UQCR11;THY1;YBX1;LDHB;TUBA1C;TUBA1B;PRDX4;LGALS1;BASP1;SEC61G;CFL1;SEC61B;TMSB10;COX8A;TPI1;SSR4;PGAM1;SSR3;FN1;MIF;PDIA6;NME1;COL1A1;LSM7;COL3A1;RCN1;OSTC;COL5A2;ADAM12;COL6A3;KDELR2;TGFBI;P4HB;PPIB;PFN1;GAPDH	1.1655564739891104e-41
SRRS_d7_wound_alignment	100	Ligand_Perturbations_from_GEO_up	7	estradiol mouse uterus GSE23072 ligand:76	1.166462543011073e-40	37.502016129032256	3448.288932600419	TAGLN;ARPC1B;UQCR11;UQCR10;YBX1;PSMA7;ACTG1;TUBA1C;LGALS1;GNG5;SEC61G;C1QBP;TMSB4X;SH3BGRL3;SEC61B;SERF2;CTSB;COX8A;EIF5A;VKORC1;PPP1R14B;TPI1;TPM4;SSR4;LUM;GSTO1;TPM2;PGAM1;NME2;MIF;PDIA6;CKAP4;COL1A1;RCN3;COL3A1;VDAC1;P4HB;PPIB	4.1826014042254185e-39
SRRS_d7_wound_alignment	100	Ligand_Perturbations_from_GEO_up	8	estradiol mouse uterus GSE23241 ligand:149	7.578256801297602e-40	37.73172001040854	3398.8024225244417	TAGLN;ARPC1B;GSTP1;UQCR11;UQCR10;YBX1;PSMA7;TUBA1C;LGALS1;SEC61G;C1QBP;TMSB4X;SH3BGRL3;SEC61B;S100A11;SERF2;COX8A;EIF5A;PPP1R14B;TPI1;TPM4;SSR4;LUM;GSTO1;TPM2;PGAM1;NME2;MIF;PDIA6;CKAP4;COL1A1;RCN3;COL3A1;VDAC1;CALR;P4HB;PPIB	2.377678071407123e-38
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_up	1	MYC KD human GSE22139 sample 712	2.444206526475928e-41	44.756325910931174	4185.265555431862	TAGLN;CXCL8;ARPC1B;TNC;ACTB;MYL12A;ACTG1;TUBA1C;TUBA1B;LGALS1;GNG5;BASP1;TUBB3;SEC61G;TMSB4X;CFL1;SH3BGRL3;TIMP1;RAC1;TMSB10;S100A11;AP2M1;CTHRC1;TPM4;FN1;INHBA;PDIA6;COL1A1;COL3A1;PKM;RAB13;COL6A3;TGFBI;P4HB;PPIB;PFN1	5.33570284729695e-38
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_up	2	Prdm16 DEPLETION mouse GSE35011 sample 487	2.2444950817770734e-39	44.845534995977474	3990.9090098912275	TNC;ENO1;THY1;YBX1;ACTB;ACTG1;SRM;TUBA1B;LGALS1;BASP1;C1QBP;TMSB4X;SH3BGRL3;TIMP1;TPM4;TPM2;PGAM1;SSR3;NME2;MIF;INHBA;CKAP4;COL1A1;COL3A1;RCN1;PKM;OSTC;COL5A2;COL6A3;CALR;P4HB;PPIB;PFN1;GAPDH	2.4498663817596755e-36
SRRS_d7_wound_alignment	100	Ligand_Perturbations_from_GEO_down	1	estradiol human endothelial cells GSE29881 ligand:129	1.6312253346315736e-38	36.626038205980066	3186.7913711953333	TAGLN;GSTP1;ACTB;LDHB;TUBA1C;TUBA1B;BASP1;TUBB3;S100A16;CFL1;AP2S1;SH3BGRL3;TIMP1;TMSB10;S100A11;CTSB;CTHRC1;OST4;PPP1R14B;TPI1;TPM4;MIF;INHBA;PDIA6;CKAP4;RCN1;PKM;OSTC;COL5A2;KDELR2;TGFBI;CALR;P4HB;PPIB;PFN1;GAPDH	3.6865692562673566e-36
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_down	1	Pfkl OE mouse GSE4695 sample 230	2.411139618423163e-39	34.33487383307145	3053.0816721421143	TAGLN;GSTP1;TNC;THY1;PTMS;SRM;TUBA1B;BASP1;TMSB4X;CFL1;SEC61B;TMSB10;S100A11;CTHRC1;EIF5A;PRELID1;POSTN;TPI1;TPM4;TPM2;PGAM1;SSR3;PDIA6;CKAP4;COL1A1;RCN3;COL3A1;RCN1;PKM;OSTC;COL5A2;ADAM12;COL6A3;CALR;P4HB;PPIB;PFN1;GAPDH	5.063393198688642e-36
